trade_date,high,low,close,pct_chg
20120517,2619.59,2571.2,2613.94,1.53
20120516,2612.63,2574.08,2574.65,-1.63
20120515,2618.18,2591.6,2617.37,0.07
20120514,2656.28,2613.35,2615.53,-0.81
20120511,2666.57,2636.52,2636.92,-0.76
20120510,2667.68,2649.38,2657.21,-0.01
20120509,2685.19,2655.32,2657.51,-1.9
20120508,2717.83,2683.56,2709.12,-0.32
20120507,2717.78,2694.32,2717.78,0.07
20120504,2716.03,2677.14,2715.88,0.91
20120503,2693.88,2675.81,2691.52,0.3
20120502,2697.95,2643.53,2683.49,2.18
20120427,2637.92,2623.6,2626.16,-0.2
20120426,2643.77,2617.09,2631.49,0.21
20120425,2631.44,2593.33,2625.99,0.81
20120424,2640.3,2559.46,2604.87,-0.04
20120423,2632.09,2599.11,2606.04,-0.79
20120420,2627.38,2589.35,2626.84,1.19
20120419,2606.86,2585.3,2596.06,-0.15
20120418,2602.11,2546,2599.91,2.28
20120417,2578.76,2541.54,2541.88,-1.25
20120416,2586.2,2559.78,2574.04,-0.25
20120413,2593.79,2570.04,2580.45,0.39
20120412,2570.84,2516.57,2570.44,2
20120411,2541.13,2489.32,2520.04,0.01
20120410,2519.81,2459.35,2519.79,0.99
20120409,2518.38,2491.59,2495.15,-0.98
20120406,2525.53,2502.7,2519.83,0.28
20120405,2517.39,2441.27,2512.83,2.36
20120330,2461.98,2438.49,2454.9,0.48
20120329,2476.48,2429.73,2443.12,-1.28
20120328,2540.42,2471.03,2474.9,-2.84
20120327,2571.9,2544.37,2547.14,-0.32
20120326,2562.93,2540.7,2555.44,0.1
20120323,2578.82,2544.53,2552.94,-1.19
20120322,2599.24,2570.45,2583.75,-0.16
20120321,2613.27,2569.07,2587.79,0.13
20120320,2622.66,2584.02,2584.45,-1.73
20120319,2631.05,2598.63,2630.01,0.25
20120316,2624.32,2577.25,2623.52,1.47
20120315,2618.25,2575.44,2585.55,-0.75
20120314,2705.75,2595.34,2605.11,-2.83
20120313,2681.33,2649.17,2681.07,1
20120312,2666.43,2636.42,2654.4,-0.37
20120309,2664.41,2631.41,2664.3,1.08
20120308,2645.95,2612.4,2635.79,1.26
20120307,2628.59,2594.13,2603.01,-0.69
20120306,2657.96,2615.6,2621.05,-1.56
20120305,2694.61,2660.96,2662.7,-0.64
20120302,2679.93,2637.96,2679.93,1.77
20120301,2647.79,2621.86,2633.35,-0.03
20120229,2666.65,2631.78,2634.14,-1.06
20120228,2671.83,2641.46,2662.46,0.22
20120227,2693.84,2656.57,2656.57,0.32
20120224,2648.02,2602.78,2648.02,1.6
20120223,2614.54,2590.52,2606.26,0.34
20120222,2598.86,2560.34,2597.48,1.37
20120221,2562.91,2520.79,2562.45,0.86
20120220,2574.75,2539.9,2540.71,0.14
20120217,2558.34,2522.86,2537.09,0.04
20120216,2559.34,2519.04,2536.07,-0.53
20120215,2562.07,2511.29,2549.61,1.09
20120214,2533.26,2506.54,2522.11,-0.39
20120213,2553.45,2496.3,2531.98,-0.06
20120210,2560.03,2521.16,2533.62,0.17
20120209,2546.03,2513.13,2529.23,0.04
20120208,2534.16,2451,2528.24,2.86
20120207,2489.03,2441.7,2457.95,-1.85
20120206,2520.76,2488.71,2504.32,-0.07
20120203,2514.65,2470.28,2506.09,0.8
20120202,2486.24,2429.71,2486.24,2.36
20120201,2481.66,2423.45,2428.99,-1.43
20120131,2472.84,2447.77,2464.26,0.14
20120130,2508.88,2460.4,2460.72,-1.73
20120120,2510.34,2462.59,2504.09,1.45
20120119,2480.21,2414.99,2468.35,1.91
20120118,2485.5,2414.53,2422.19,-1.56
20120117,2462.43,2329.25,2460.6,4.9
20120116,2394.5,2345.63,2345.65,-2.03
20120113,2445.79,2374.55,2394.33,-1.68
20120112,2464.38,2423.32,2435.22,-0.02
20120111,2453.15,2423.32,2435.61,-0.48
20120110,2449.96,2361.28,2447.35,3.33
20120109,2368.89,2271.72,2368.57,3.4
20120106,2291.89,2254.57,2290.6,0.62
20120105,2316.66,2272.15,2276.39,-0.97
20120104,2365.99,2298.3,2298.75,-2
20111230,2349.03,2318.67,2345.74,1.49
20111229,2323.49,2293.87,2311.36,0.15
20111228,2309.65,2267.11,2307.93,0.13
20111227,2346.38,2302.41,2305.04,-1.31
20111226,2369.82,2334.79,2335.7,-0.99
20111223,2382.71,2331.96,2359.16,0.76
20111222,2358.47,2294.61,2341.34,0.1
20111221,2404.78,2337.69,2339.11,-1.6
20111220,2412.57,2373.86,2377.07,-0.31
20111219,2387.89,2321.66,2384.41,-0.24
20111216,2390.38,2332.14,2390.13,2.11
20111215,2384.47,2340.45,2340.79,-2.36
20111214,2433.55,2392.3,2397.48,-1.01
20111213,2472.66,2418.67,2421.93,-2.25
20111212,2502.05,2476.12,2477.69,-1.03
20111209,2525.16,2496.97,2503.46,-0.85
20111208,2549.1,2494.69,2525,-0.13
20111207,2534.53,2509.78,2528.23,0.47
20111206,2525.67,2499.57,2516.34,-0.2
20111205,2561.2,2517.18,2521.39,-1.4
20111202,2575.69,2543.53,2557.31,-1.02
20111201,2630.66,2577.72,2583.61,2.46
20111130,2601.9,2507.18,2521.52,-3.34
20111129,2609.19,2580.29,2608.57,1.37
20111128,2589.35,2562.49,2573.32,0.13
20111125,2598.39,2563.65,2569.97,-0.73
20111124,2604.24,2557.7,2588.92,0.19
20111123,2617.09,2578.16,2584.01,-0.98
20111122,2611.15,2580.78,2609.48,-0.01
20111121,2613.26,2587.74,2609.69,0.12
20111118,2646.21,2601.18,2606.5,-2.09
20111117,2687.83,2660.65,2662.02,-0.3
20111116,2746.29,2659.15,2670.12,-2.72
20111115,2754,2732.91,2744.68,-0.2
20111114,2751.88,2714.86,2750.2,2.05
20111111,2713.91,2685.1,2695,-0.17
20111110,2729.57,2698.31,2699.59,-1.89
20111109,2755.81,2710.05,2751.65,0.88
20111108,2756.09,2723.69,2727.71,-0.31
20111107,2769.3,2733.17,2736.25,-0.99
20111104,2781.99,2748.98,2763.75,0.71
20111103,2781.04,2743.2,2744.3,0.07
20111102,2742.94,2653.72,2742.39,1.66
20111101,2726.09,2669.05,2697.53,0.08
20111031,2709.32,2680.99,2695.31,-0.51
20111028,2729.14,2689.38,2709.02,1.94
20111027,2672.84,2647.3,2657.48,0.22
20111026,2679.66,2611.01,2651.65,1
